size,msec
5,351
5,285
5,328
5,228
5,195
5,201
5,215
5,207
5,196
5,183
10,531
10,524
10,534
10,530
10,532
10,517
10,523
10,533
10,525
10,523
20,1514
20,1537
20,1532
20,1566
20,1537
20,1557
20,1523
20,1510
20,1514
20,1537
50,10746
50,11065
50,10806
50,10807
50,10789
50,11119
50,11450
50,11190
50,11138
50,11168
100,70680
100,67434
100,69928
100,67247
100,67207
100,68319
100,64298
100,64938
100,64356
100,67329
