size,msec
5,361
5,285
5,219
5,211
5,281
5,213
5,201
5,183
5,192
5,185
10,543
10,587
10,541
10,535
10,526
10,522
10,531
10,529
10,523
10,520
20,1473
20,1474
20,1479
20,1513
20,1545
20,1578
20,1523
20,1521
20,1514
20,1487
50,10145
50,9939
50,10015
50,10011
50,9759
50,9761
50,10190
50,10279
50,9804
50,9764
100,67425
100,64435
100,63887
100,62972
100,63883
100,64268
100,63784
100,63935
100,63771
100,63166
